date,index_name,rank,attention_weight,headline
2024-12-26,KOSPI,2,0.034683067351579666,네 번째 아내가 아들 전 여친 ‘240억 뇌물’ 중국은행 前회장의 막장
2024-12-26,KOSPI,3,0.03462977707386017,‘파나마 운하도 그린란드도 미국 땅’ 주장 트럼프의 계산된 도발
2024-12-26,KOSPI,4,0.03456467017531395,"박지원 ""거국내각 총리 제안받아 탁자 치고 나와버렸다"""
2024-12-26,KOSPI,5,0.03438474237918854,“우크라서 무기 소리 잦아들기를” 교황 성탄 메시지
2024-12-27,KOSDAQ,1,0.0355241633951664,더 공고해진 쿠팡 네이버 ‘독주’ “소비자 혜택 감소 우려”
2024-12-27,KOSDAQ,2,0.035396136343479156,“어릴 적 기숙학교서 학대” 美 패리스 힐턴법 통과됐다
2024-12-27,KOSDAQ,3,0.03509783372282982,"태경그룹, 인조대리석 제조사 라이온켐텍 1300억에 인수"
2024-12-27,KOSDAQ,4,0.034957706928253174,[차장 칼럼] K증시 탈출 행렬 막으려면
2024-12-27,KOSDAQ,5,0.03483929485082626,"'美점령군' '日패악질'이라더니 이재명 ""애정 깊다"" 무슨 일 [이슈+]"
2024-12-27,KOSPI,1,0.0355241633951664,더 공고해진 쿠팡 네이버 ‘독주’ “소비자 혜택 감소 우려”
2024-12-27,KOSPI,2,0.035396136343479156,“어릴 적 기숙학교서 학대” 美 패리스 힐턴법 통과됐다
2024-12-27,KOSPI,3,0.03509783372282982,"태경그룹, 인조대리석 제조사 라이온켐텍 1300억에 인수"
2024-12-27,KOSPI,4,0.034957706928253174,[차장 칼럼] K증시 탈출 행렬 막으려면
2024-12-27,KOSPI,5,0.03483929485082626,"'美점령군' '日패악질'이라더니 이재명 ""애정 깊다"" 무슨 일 [이슈+]"
2024-12-30,KOSDAQ,1,0.035233695060014725,"북, 트럼프 2기 앞두고 “최강경 대미 전략” 언급"
2024-12-30,KOSDAQ,2,0.034944139420986176,"트럼프 ""정치적 해법 찾겠다 틱톡 금지 유예해 달라"""
2024-12-30,KOSDAQ,3,0.03482125326991081,"한국에 시집온 40대, 엄마 보러 온 여대생 태국인 2명도 참변"
2024-12-30,KOSDAQ,4,0.03432517126202583,"프란치스코 교황 “비극적 사고, 한국 희생자 위해 기도”"
2024-12-30,KOSDAQ,5,0.03418257087469101,교황 “슬퍼할 한국 가족들 위해 기도”... 각국 정상들도 애도
2024-12-30,KOSPI,1,0.035233695060014725,"북, 트럼프 2기 앞두고 “최강경 대미 전략” 언급"
2024-12-30,KOSPI,2,0.034944139420986176,"트럼프 ""정치적 해법 찾겠다 틱톡 금지 유예해 달라"""
2024-12-30,KOSPI,3,0.03482125326991081,"한국에 시집온 40대, 엄마 보러 온 여대생 태국인 2명도 참변"
2024-12-30,KOSPI,4,0.03432517126202583,"프란치스코 교황 “비극적 사고, 한국 희생자 위해 기도”"
2024-12-30,KOSPI,5,0.03418257087469101,교황 “슬퍼할 한국 가족들 위해 기도”... 각국 정상들도 애도
